t,inp_mag,tgt_x,tgt_y,tgt_z,tgt_rx,tgt_ry,tgt_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz
6e-05,0,0.198965,-0.073121,0.20835,3.129,0.002,0.025,0.198978,-0.073121,0.208348,3.129,0.002,0.026
0.02021,0,0.198965,-0.073121,0.20835,3.129,0.002,0.025,0.198978,-0.073121,0.208348,3.129,0.002,0.026
0.04036,0,0.198965,-0.073121,0.20835,3.129,0.002,0.025,0.198978,-0.073121,0.208348,3.129,0.002,0.026
0.06049,0,0.198965,-0.073121,0.20835,3.129,0.002,0.025,0.198981,-0.073128,0.208353,3.129,0.001,0.025
0.08063,0,0.198965,-0.073121,0.20835,3.129,0.002,0.025,0.198981,-0.073128,0.208353,3.129,0.001,0.025
0.10068,0,0.198965,-0.073121,0.20835,3.129,0.002,0.025,0.198981,-0.073128,0.208353,3.129,0.001,0.025
0.12074,0,0.198965,-0.073121,0.20835,3.129,0.002,0.025,0.198981,-0.073128,0.208353,3.129,0.001,0.025
0.1408,0,0.198965,-0.073121,0.20835,3.129,0.002,0.025,0.199012,-0.073055,0.208374,3.129,0.001,0.024
0.16086,0,0.198965,-0.073121,0.20835,3.129,0.002,0.025,0.199012,-0.073055,0.208374,3.129,0.001,0.024
0.18092,0,0.198965,-0.073121,0.20835,3.129,0.002,0.025,0.199041,-0.073044,0.2084,3.129,0.001,0.024
0.20098,0,0.198965,-0.073121,0.20835,3.129,0.002,0.025,0.199041,-0.073044,0.2084,3.129,0.001,0.024
0.22104,0,0.198965,-0.073121,0.20835,3.129,0.002,0.025,0.199041,-0.073044,0.2084,3.129,0.001,0.024
0.2411,0,0.198965,-0.073121,0.20835,3.129,0.002,0.025,0.199077,-0.073021,0.208394,3.129,0.001,0.024
0.26116,0,0.198965,-0.073121,0.20835,3.129,0.002,0.025,0.199077,-0.073021,0.208394,3.129,0.001,0.024
0.28122,0,0.198965,-0.073121,0.20835,3.129,0.002,0.025,0.199077,-0.073021,0.208394,3.129,0.001,0.024
0.30127,0,0.198965,-0.073121,0.20835,3.129,0.002,0.025,0.199053,-0.073022,0.208373,3.129,0.001,0.024
0.32134,0,0.198965,-0.073121,0.20835,3.129,0.002,0.025,0.199053,-0.073022,0.208373,3.129,0.001,0.024
0.34139,0,0.198965,-0.073121,0.20835,3.129,0.002,0.025,0.199053,-0.073022,0.208373,3.129,0.001,0.024
