t,inp_mag,tgt_x,tgt_y,tgt_z,tgt_rx,tgt_ry,tgt_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz
6e-05,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215078,-0.012833,0.20541,3.139,0.012,3.068
0.01013,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215078,-0.012833,0.20541,3.139,0.012,3.068
0.02019,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215078,-0.012833,0.20541,3.139,0.012,3.068
0.03025,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215078,-0.012833,0.20541,3.139,0.012,3.068
0.04031,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215078,-0.012833,0.20541,3.139,0.012,3.068
0.05036,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215072,-0.012832,0.205411,3.139,0.013,3.068
0.06043,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215072,-0.012832,0.205411,3.139,0.013,3.068
0.07048,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215072,-0.012832,0.205411,3.139,0.013,3.068
0.08055,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215072,-0.012832,0.205411,3.139,0.013,3.068
0.09061,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215072,-0.012832,0.205411,3.139,0.013,3.068
0.10065,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215089,-0.012826,0.205414,3.139,0.013,3.068
0.11071,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215089,-0.012826,0.205414,3.139,0.013,3.068
0.12076,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215089,-0.012826,0.205414,3.139,0.013,3.068
0.13082,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215089,-0.012826,0.205414,3.139,0.013,3.068
0.14087,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215089,-0.012826,0.205414,3.139,0.013,3.068
0.15093,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215077,-0.01284,0.20541,3.139,0.013,3.068
0.16098,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215077,-0.01284,0.20541,3.139,0.013,3.068
0.17104,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215077,-0.01284,0.20541,3.139,0.013,3.068
0.18109,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215077,-0.01284,0.20541,3.139,0.013,3.068
0.19115,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215077,-0.01284,0.20541,3.139,0.013,3.068
0.2012,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215077,-0.01284,0.20541,3.139,0.013,3.068
0.21126,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215075,-0.01285,0.2054,3.139,0.012,3.068
0.22131,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215075,-0.01285,0.2054,3.139,0.012,3.068
0.23137,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215075,-0.01285,0.2054,3.139,0.012,3.068
0.24142,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215075,-0.01285,0.2054,3.139,0.012,3.068
0.25148,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215075,-0.01285,0.2054,3.139,0.012,3.068
0.26154,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215075,-0.01285,0.2054,3.139,0.012,3.068
0.27159,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215092,-0.012843,0.205423,3.139,0.013,3.067
0.28164,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215092,-0.012843,0.205423,3.139,0.013,3.067
0.2917,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215092,-0.012843,0.205423,3.139,0.013,3.067
0.30176,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215092,-0.012843,0.205423,3.139,0.013,3.067
0.31182,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215092,-0.012843,0.205423,3.139,0.013,3.067
0.32187,0,0.215092,-0.012834,0.205414,3.139,0.013,3.067,0.215092,-0.012843,0.205423,3.139,0.013,3.067
