t,inp_mag,tgt_x,tgt_y,tgt_z,tgt_rx,tgt_ry,tgt_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz
5e-05,0,0.215079,-0.012825,0.26462,3.138,0.012,3.066,0.215083,-0.012832,0.264615,3.138,0.012,3.067
0.01018,0,0.215079,-0.012825,0.26462,3.138,0.012,3.066,0.215083,-0.012832,0.264615,3.138,0.012,3.067
0.02023,0,0.215079,-0.012825,0.26462,3.138,0.012,3.066,0.215083,-0.012832,0.264615,3.138,0.012,3.067
0.03033,0,0.215079,-0.012825,0.26462,3.138,0.012,3.066,0.215083,-0.012832,0.264615,3.138,0.012,3.067
0.04045,0,0.215079,-0.012825,0.26462,3.138,0.012,3.066,0.215083,-0.012832,0.264615,3.138,0.012,3.067
0.05051,0,0.215079,-0.012825,0.26462,3.138,0.012,3.066,0.215083,-0.012832,0.264615,3.138,0.012,3.067
0.06056,0,0.215079,-0.012825,0.26462,3.138,0.012,3.066,0.215082,-0.012837,0.26462,3.138,0.012,3.066
0.07067,0,0.215079,-0.012825,0.26462,3.138,0.012,3.066,0.215082,-0.012837,0.26462,3.138,0.012,3.066
0.08079,0,0.215079,-0.012825,0.26462,3.138,0.012,3.066,0.215082,-0.012837,0.26462,3.138,0.012,3.066
0.09085,0,0.215079,-0.012825,0.26462,3.138,0.012,3.066,0.215082,-0.012837,0.26462,3.138,0.012,3.066
0.1009,0,0.215079,-0.012825,0.26462,3.138,0.012,3.066,0.215082,-0.012837,0.26462,3.138,0.012,3.066
0.11095,0,0.215079,-0.012825,0.26462,3.138,0.012,3.066,0.215082,-0.012837,0.26462,3.138,0.012,3.066
0.12101,0,0.215079,-0.012825,0.26462,3.138,0.012,3.066,0.215045,-0.012944,0.264583,3.138,0.012,3.066
0.13106,0,0.215079,-0.012825,0.26462,3.138,0.012,3.066,0.215045,-0.012944,0.264583,3.138,0.012,3.066
0.14112,0,0.215079,-0.012825,0.26462,3.138,0.012,3.066,0.215045,-0.012944,0.264583,3.138,0.012,3.066
0.15117,0,0.215079,-0.012825,0.26462,3.138,0.012,3.066,0.215045,-0.012944,0.264583,3.138,0.012,3.066
0.16122,0,0.215079,-0.012825,0.26462,3.138,0.012,3.066,0.215045,-0.012944,0.264583,3.138,0.012,3.066
0.17127,0,0.215079,-0.012825,0.26462,3.138,0.012,3.066,0.215054,-0.012972,0.264586,3.138,0.012,3.066
0.18133,0,0.215079,-0.012825,0.26462,3.138,0.012,3.066,0.215054,-0.012972,0.264586,3.138,0.012,3.066
0.19138,0,0.215079,-0.012825,0.26462,3.138,0.012,3.066,0.215054,-0.012972,0.264586,3.138,0.012,3.066
